Maker,Model,Min new price,Max new price,Age,km_driven,seller_type,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
MAHINDRA,SSANGYONG REXTON,,,8.0,120000.0,Dealer,First Owner,Diesel,Manual,12.83,2696.0,162.0,7.0,575000.0
RENAULT,KWID 1.0,,,4.0,16000.0,Individual,First Owner,Petrol,Manual,23.01,999.0,67.0,5.0,315000.0
HYUNDAI,GRAND I10,,,6.0,20000.0,Dealer,First Owner,Diesel,Manual,24.0,1120.0,70.0,5.0,500000.0
MARUTI,A STAR,,,10.0,69717.0,Dealer,First Owner,Petrol,Automatic,16.98,998.0,66.1,5.0,200000.0
MARUTI,SWIFT DZIRE,,,7.0,64000.0,Dealer,First Owner,Diesel,Manual,23.4,1248.0,74.0,5.0,545000.0
MARUTI,ERTIGA VDI,,,9.0,67000.0,Dealer,First Owner,Diesel,Manual,20.77,1248.0,88.76,7.0,625000.0
HONDA,JAZZ 1.2,844000.0,1085000.0,5.0,10000.0,Individual,First Owner,Petrol,Manual,18.7,1199.0,88.7,5.0,500000.0
HONDA,CITY I,1488000.0,1752000.0,7.0,70000.0,Dealer,First Owner,Diesel,Manual,26.0,1498.0,98.6,5.0,540000.0
HYUNDAI,I20 SPORTZ,790000.0,1323000.0,5.0,50507.0,Dealer,First Owner,Petrol,Manual,18.6,1197.0,81.83,5.0,650000.0
AUDI,A6 35,,,4.0,27000.0,Dealer,First Owner,Diesel,Automatic,18.53,1968.0,187.74,5.0,2600000.0
HONDA,CITY I,1502000.0,1780000.0,7.0,73000.0,Dealer,First Owner,Diesel,Manual,26.0,1498.0,98.6,5.0,625000.0
CHEVROLET,BEAT LS,,,8.0,23245.0,Dealer,First Owner,Petrol,Manual,18.6,1199.0,79.4,5.0,240000.0
MARUTI,ALTO LXI,,,12.0,60000.0,Individual,First Owner,Petrol,Manual,19.7,796.0,46.3,5.0,125000.0
MARUTI,WAGON R,551000.0,733000.0,8.0,83000.0,Dealer,First Owner,Petrol,Manual,18.9,998.0,67.1,5.0,335000.0
MARUTI,WAGON R,540000.0,720000.0,6.0,40000.0,Individual,First Owner,Petrol,Manual,20.51,998.0,67.04,5.0,350000.0
HYUNDAI,GRAND I10,706000.0,742000.0,4.0,32212.0,Dealer,First Owner,Petrol,Manual,18.9,1197.0,81.86,5.0,500000.0
HYUNDAI,CRETA 1.6,1233000.0,2082000.0,3.0,24000.0,Dealer,First Owner,Diesel,Automatic,17.6,1582.0,126.2,5.0,1350000.0
MARUTI,SWIFT VXI,640000.0,930000.0000000001,10.0,70000.0,Dealer,First Owner,Petrol,Manual,18.6,1197.0,85.8,5.0,325000.0
MARUTI,SWIFT DZIRE,,,4.0,124000.0,Dealer,First Owner,Diesel,Manual,23.4,1248.0,74.0,5.0,590000.0
HYUNDAI,I20 1.2,791000.0,1324000.0,9.0,36000.0,Dealer,First Owner,Petrol,Manual,17.0,1197.0,80.0,5.0,385000.0
MARUTI,ALTO 800,,,4.0,34153.0,Dealer,First Owner,Petrol,Manual,24.7,796.0,47.3,5.0,320000.0
NISSAN,TERRANO XL,,,6.0,39418.0,Dealer,First Owner,Diesel,Manual,19.01,1461.0,108.5,5.0,675000.0
MAHINDRA,KUV 100,679000.0,864000.0,4.0,50000.0,Individual,First Owner,Petrol,Manual,18.15,1198.0,82.0,6.0,390000.0
VOLKSWAGEN,POLO 2015-2019,723000.0,1175000.0,5.0,45000.0,Dealer,First Owner,Petrol,Automatic,17.21,1197.0,103.5,5.0,665000.0
MARUTI,WAGON R,540000.0,720000.0,10.0,48000.0,Dealer,First Owner,Petrol,Manual,18.9,998.0,67.1,5.0,235000.0
MERCEDES-BENZ,E-CLASS E250,7673000.0,9561000.0,7.0,70001.0,Dealer,First Owner,Diesel,Automatic,13.0,2143.0,204.0,5.0,2025000.0
HONDA,ACCORD V6,,,14.0,120000.0,Individual,First Owner,Petrol,Automatic,9.0,2997.0,218.0,5.0,400000.0
TATA,TIGOR 1.2,624000.0,863000.0000000001,3.0,60000.0,Individual,First Owner,Petrol,Manual,20.3,1199.0,84.0,5.0,550000.0
MARUTI,SWIFT VXI,641000.0,931000.0,6.0,78000.0,Dealer,First Owner,Petrol,Manual,18.6,1197.0,85.8,5.0,450000.0
TOYOTA,CAMRY A/T,4750000.0,,13.0,138000.0,Dealer,First Owner,Petrol,Automatic,12.1,2362.0,164.7,5.0,400000.0
HONDA,CR-V 2.0L,3344000.0,3509000.0000000005,5.0,84000.0,Dealer,First Owner,Petrol,Automatic,13.1,1997.0,141.1,5.0,1350000.0
TOYOTA,INNOVA CRYSTA,2073000.0,3010000.0,3.0,27000.0,Dealer,First Owner,Diesel,Automatic,11.36,2755.0,171.5,8.0,1800000.0
HYUNDAI,VERNA 1.6,1262000.0,1779000.0,8.0,51000.0,Dealer,First Owner,Diesel,Manual,22.32,1582.0,126.32,5.0,625000.0
MARUTI,ERTIGA VXI,,,7.0,62000.0,Dealer,First Owner,CNG,Manual,22.8,1373.0,80.9,7.0,650000.0
HYUNDAI,I20 SPORTZ,942000.0,1262000.0,7.0,62000.0,Dealer,First Owner,Diesel,Manual,21.9,1396.0,88.76,5.0,430000.0
TOYOTA,COROLLA ALTIS,,,10.0,64745.0,Dealer,First Owner,Petrol,Manual,14.28,1798.0,138.03,5.0,465000.00000000006
MARUTI,ZEN ESTILO,,,14.0,46000.0,Dealer,First Owner,Petrol,Manual,18.2,998.0,67.1,5.0,145000.0
HONDA,CITY 1.5,1290000.0,1698999.9999999998,12.0,120000.0,Individual,First Owner,Petrol,Manual,17.0,1497.0,118.0,5.0,235000.0
TATA,ZEST QUADRAJET,,,6.0,53001.0,Dealer,First Owner,Diesel,Manual,22.95,1248.0,74.0,5.0,465000.00000000006
TOYOTA,INNOVA 2.5,,,13.0,165999.0,Dealer,First Owner,Diesel,Manual,12.99,2494.0,100.0,7.0,461000.00000000006
HYUNDAI,I20 1.2,791000.0,1324000.0,9.0,24600.0,Dealer,First Owner,Petrol,Manual,17.0,1197.0,80.0,5.0,330000.0
HONDA,NEW ACCORD,,,11.0,84000.0,Dealer,First Owner,Petrol,Manual,12.8,2354.0,177.6,5.0,385000.0
MARUTI,BALENO ALPHA,705000.0,1073000.0,3.0,17947.0,Dealer,First Owner,Petrol,Automatic,21.4,1197.0,83.1,5.0,825000.0
HYUNDAI,XCENT 2016-2017,,,5.0,20000.0,Individual,First Owner,Petrol,Manual,19.1,1197.0,82.0,5.0,425000.0
FORD,FIESTA 1.6,,,12.0,65000.0,Dealer,First Owner,Petrol,Manual,15.3,1596.0,101.0,5.0,151000.0
TATA,NANO XTA,,,5.0,17000.0,Dealer,First Owner,Petrol,Automatic,21.9,624.0,37.48,4.0,235000.0
SKODA,FABIA 1.2,,,8.0,70705.0,Dealer,First Owner,Diesel,Manual,20.86,1199.0,73.9,5.0,269000.0
MARUTI,SWIFT DZIRE,,,3.0,29000.0,Dealer,First Owner,Petrol,Automatic,18.5,1197.0,83.14,5.0,630000.0
HYUNDAI,XCENT 1.1,,,5.0,90000.0,Individual,First Owner,Diesel,Manual,24.4,1120.0,71.0,5.0,345000.0
HONDA,MOBILIO RS,,,7.0,100000.0,Individual,First Owner,Diesel,Manual,24.5,1498.0,98.6,7.0,520000.0
MARUTI,WAGON R,,,8.0,60000.0,Individual,First Owner,Petrol,Manual,20.51,998.0,67.04,5.0,260000.0
MERCEDES-BENZ,C-CLASS C,5216000.0,6517000.0,8.0,71000.0,Dealer,First Owner,Diesel,Automatic,19.27,2143.0,170.0,5.0,1185000.0
HYUNDAI,CRETA 1.6,1233000.0,2082000.0,6.0,67000.0,Dealer,First Owner,Diesel,Automatic,17.01,1582.0,126.2,5.0,1059000.0
MARUTI,SX4 S,,,5.0,40356.0,Dealer,First Owner,Diesel,Manual,23.65,1248.0,88.5,5.0,725000.0
MARUTI,WAGON R,540000.0,720000.0,8.0,62500.0,Dealer,First Owner,Petrol,Manual,21.79,998.0,67.05,5.0,300000.0
HONDA,NEW ACCORD,,,13.0,45000.0,Dealer,First Owner,Petrol,Automatic,10.2,2354.0,180.0,5.0,375000.0
VOLKSWAGEN,BEETLE 1.4,,,11.0,18000.0,Dealer,First Owner,Petrol,Automatic,17.68,1395.0,148.0,4.0,1549000.0
HYUNDAI,SANTRO MAGNA,569000.0,763000.0,2.0,4700.0,Individual,First Owner,Petrol,Automatic,20.3,1086.0,68.0,5.0,550000.0
MARUTI,SWIFT DZIRE,,,3.0,27000.0,Dealer,First Owner,Diesel,Automatic,28.4,1248.0,74.02,5.0,725000.0
MERCEDES-BENZ,GLA CLASS,,,6.0,55000.0,Dealer,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,1851000.0000000002
FORD,FIGO PETROL,657000.0,823000.0,9.0,46573.0,Dealer,First Owner,Petrol,Manual,15.6,1196.0,70.0,5.0,269000.0
MARUTI,ERTIGA BSIV,893000.0,1230000.0,5.0,68500.0,Dealer,First Owner,Petrol,Automatic,17.03,1373.0,91.1,7.0,765000.0
HONDA,BRIO S,,,9.0,72000.0,Individual,First Owner,Petrol,Manual,19.4,1198.0,86.8,5.0,249000.00000000003
MARUTI,SWIFT DZIRE,,,9.0,70000.0,Dealer,First Owner,Diesel,Manual,19.3,1248.0,73.9,5.0,484999.99999999994
TATA,TIGOR 1.05,,,4.0,24900.0,Dealer,First Owner,Diesel,Manual,24.7,1047.0,69.0,5.0,675000.0
TATA,INDICA DLS,,,5.0,20000.0,Individual,First Owner,Diesel,Manual,17.88,1405.0,48.21,5.0,325000.0
HYUNDAI,GRAND I10,706000.0,742000.0,5.0,20000.0,Dealer,First Owner,Petrol,Manual,18.9,1197.0,82.0,5.0,509999.99999999994
HONDA,CITY 2017-2020,1269000.0,1686000.0,14.0,70000.0,Individual,First Owner,Petrol,Manual,17.7,1497.0,78.0,5.0,350000.0
MARUTI,SWIFT VDI,,,8.0,79000.0,Dealer,First Owner,Diesel,Manual,28.4,1248.0,74.0,5.0,448000.00000000006
TATA,TIAGO 1.2,567000.0,795000.0,4.0,20000.0,Individual,First Owner,Petrol,Manual,23.84,1199.0,84.0,5.0,490000.00000000006
MARUTI,ALTO 800,354000.0,472000.0,4.0,90000.0,Individual,First Owner,Petrol,Manual,24.7,796.0,47.3,5.0,254999.99999999997
MARUTI,SWIFT VXI,641000.0,931000.0,4.0,36000.0,Dealer,First Owner,Petrol,Manual,21.21,1197.0,81.8,5.0,575000.0
MAHINDRA,XUV500 W4,1567000.0,2307000.0,7.0,72125.0,Individual,First Owner,Diesel,Manual,15.1,2179.0,140.0,7.0,800000.0
MAHINDRA,BOLERO POWER,,,5.0,80000.0,Individual,First Owner,Diesel,Manual,16.5,1493.0,70.0,7.0,700000.0
MERCEDES-BENZ,E-CLASS 200,7417000.0,17200000.0,14.0,85250.0,Dealer,First Owner,Petrol,Automatic,10.5,1796.0,157.7,5.0,499000.0
TATA,ZEST QUADRAJET,,,7.0,46400.0,Dealer,First Owner,Diesel,Manual,23.0,1248.0,88.7,5.0,425000.0
MARUTI,WAGON R,539000.0,717000.0,8.0,55149.0,Dealer,First Owner,Petrol,Manual,20.51,998.0,67.04,5.0,311000.0
MARUTI,SX4 ZDI,,,10.0,76000.0,Dealer,First Owner,Diesel,Manual,21.5,1248.0,88.8,5.0,335000.0
VOLKSWAGEN,POLO GT,723000.0,1175000.0,3.0,22000.0,Dealer,First Owner,Petrol,Automatic,17.21,1197.0,103.6,5.0,760000.0
SKODA,OCTAVIA ELEGANCE,4534000.0,,6.0,110000.0,Individual,First Owner,Petrol,Automatic,14.7,1798.0,177.5,5.0,990000.0
MARUTI,ZEN LXI,,,20.0,110000.0,Individual,First Owner,Petrol,Manual,17.3,993.0,60.0,5.0,100000.0
TOYOTA,INNOVA 2.5,,,10.0,68900.0,Dealer,First Owner,Diesel,Manual,12.8,2494.0,102.0,7.0,665000.0
MARUTI,CIAZ VXI,,,4.0,27400.0,Dealer,First Owner,Petrol,Manual,20.73,1373.0,91.1,5.0,655000.0
MERCEDES-BENZ,C-CLASS C,5212000.0,6511000.0,11.0,67900.0,Dealer,First Owner,Diesel,Automatic,14.94,2143.0,204.0,5.0,950000.0
MERCEDES-BENZ,S-CLASS S,169000.0,32700000.0,5.0,41000.0,Dealer,First Owner,Petrol,Automatic,7.81,5461.0,362.9,5.0,11000000.0
MARUTI,SWIFT DZIRE,692000.0,1032000.0,5.0,30000.0,Individual,First Owner,Petrol,Manual,17.5,1298.0,85.8,5.0,600000.0
MERCEDES-BENZ,M-CLASS ML,,,6.0,42900.0,Dealer,First Owner,Diesel,Automatic,11.74,2987.0,254.8,5.0,3400000.0
HONDA,CITY I,,,5.0,57000.0,Dealer,First Owner,Petrol,Manual,17.4,1497.0,117.3,5.0,725000.0
MARUTI,SWIFT DZIRE,,,3.0,70000.0,Individual,First Owner,Petrol,Manual,22.0,1197.0,81.8,5.0,550000.0
MARUTI,CELERIO GREEN,,,4.0,66000.0,Individual,First Owner,CNG,Manual,31.79,998.0,58.2,5.0,450000.0
HONDA,AMAZE VX,735000.0,1035000.0,6.0,65445.0,Trustmark Dealer,First Owner,Petrol,Manual,18.0,1198.0,86.7,5.0,499000.0
TATA,TIAGO WIZZ,,,3.0,42000.0,Dealer,First Owner,Diesel,Manual,27.28,1047.0,69.0,5.0,495000.0
HONDA,AMAZE S,727000.0,1025000.0,8.0,31497.0,Dealer,First Owner,Petrol,Manual,18.0,1198.0,86.7,5.0,393000.0
MARUTI,BALENO ZETA,705000.0,1073000.0,3.0,26600.0,Dealer,First Owner,Petrol,Manual,21.01,1197.0,81.8,5.0,665000.0
HYUNDAI,I20 SPORTZ,791000.0,1324000.0,2.0,5000.0,Individual,First Owner,Petrol,Manual,18.6,1197.0,81.86,5.0,710000.0
FORD,ENDEAVOUR 3.2,3615000.0,4268000.0,4.0,40000.0,Dealer,First Owner,Diesel,Automatic,10.91,3198.0,197.0,7.0,2850000.0
NISSAN,TERRANO XL,,,7.0,63100.0,Dealer,First Owner,Diesel,Manual,20.45,1461.0,83.8,5.0,575000.0
RENAULT,KWID 1.0,400000.0,654000.0,3.0,10000.0,Dealer,First Owner,Petrol,Manual,23.01,999.0,67.0,5.0,385000.0
HYUNDAI,I20 1.4,968000.0,1284000.0,8.0,62000.0,Dealer,First Owner,Diesel,Manual,21.9,1396.0,90.0,5.0,425000.0
TOYOTA,COROLLA ALTIS,,,7.0,52000.0,Dealer,First Owner,Petrol,Automatic,14.28,1798.0,138.03,5.0,950000.0
HYUNDAI,GRAND I10,706000.0,742000.0,5.0,42845.0,Dealer,First Owner,Petrol,Manual,18.9,1197.0,82.0,5.0,438000.0
MARUTI,SWIFT DZIRE,716000.0,720000.0,3.0,115000.0,Individual,First Owner,CNG,Manual,26.55,1197.0,81.8,5.0,450000.0
MARUTI,VITARA BREZZA,,,2.0,29000.0,Dealer,First Owner,Diesel,Automatic,24.3,1248.0,88.5,5.0,1055000.0
CHEVROLET,SAIL HATCHBACK,,,9.0,67833.0,Dealer,First Owner,Diesel,Manual,22.1,1248.0,76.9,5.0,315000.0
TOYOTA,INNOVA 2.5,,,11.0,191876.0,Dealer,First Owner,Diesel,Manual,12.8,2494.0,102.0,8.0,670000.0
MARUTI,SWIFT VDI,,,6.0,110000.0,Individual,First Owner,Diesel,Manual,25.2,1248.0,74.0,5.0,500000.0
MARUTI,ALTO LXI,,,10.0,69000.0,Dealer,First Owner,Petrol,Manual,19.7,796.0,46.3,5.0,140000.0
HYUNDAI,I10 MAGNA,,,10.0,24600.0,Individual,First Owner,Petrol,Manual,20.36,1197.0,78.9,5.0,240000.0
MARUTI,BALENO DELTA,705000.0,1073000.0,4.0,34428.0,Dealer,First Owner,Petrol,Manual,21.4,1197.0,83.1,5.0,625000.0
MARUTI,BALENO ALPHA,705000.0,1073000.0,5.0,49551.0,Dealer,First Owner,Petrol,Manual,21.4,1197.0,83.1,5.0,620000.0
CHEVROLET,SAIL 1.2,,,6.0,26000.0,Individual,First Owner,Petrol,Manual,18.2,1199.0,82.4,5.0,275000.0
HYUNDAI,I10 SPORTZ,,,12.0,57800.0,Dealer,First Owner,Petrol,Manual,20.36,1197.0,78.9,5.0,254999.99999999997
HONDA,CITY I-VTEC,1290000.0,1698999.9999999998,4.0,44897.0,Dealer,First Owner,Petrol,Automatic,18.0,1497.0,117.6,5.0,850000.0
MARUTI,SWIFT DZIRE,,,3.0,35000.0,Individual,First Owner,Diesel,Manual,28.4,1248.0,74.02,5.0,800000.0
TOYOTA,INNOVA CRYSTA,,,4.0,55000.0,Dealer,First Owner,Diesel,Automatic,11.36,2755.0,171.5,8.0,1755000.0
BMW,6 SERIES,,,8.0,34000.0,Dealer,First Owner,Diesel,Automatic,9.52,2993.0,313.0,4.0,3499000.0
TATA,TIAGO 2019-2020,,,2.0,35000.0,Individual,First Owner,Diesel,Manual,27.28,1047.0,69.0,5.0,550000.0
TATA,INDICA VISTA,,,12.0,25000.0,Individual,First Owner,Petrol,Manual,15.8,1172.0,65.0,5.0,185000.0
MARUTI,ERTIGA ZDI,,,8.0,73000.0,Dealer,First Owner,Diesel,Manual,25.47,1248.0,88.5,7.0,665000.0
MAHINDRA,SCORPIO SLE,1517000.0,1968000.0,10.0,105000.0,Individual,First Owner,Diesel,Manual,12.05,2179.0,120.0,8.0,459999.99999999994
HYUNDAI,ELANTRA 1.6,2244000.0,2531000.0,4.0,55000.0,Dealer,First Owner,Diesel,Automatic,18.23,1582.0,126.2,5.0,1500000.0
MARUTI,BALENO ALPHA,705000.0,1073000.0,4.0,43000.0,Individual,First Owner,Petrol,Manual,21.4,1197.0,83.1,5.0,700000.0
JAGUAR,XF 2.2,,,6.0,34600.0,Dealer,First Owner,Diesel,Automatic,16.36,2179.0,187.7,5.0,2545000.0
MARUTI,SWIFT ZDI,,,3.0,20000.0,Individual,First Owner,Diesel,Manual,28.4,1248.0,74.0,5.0,790000.0
VOLKSWAGEN,VENTO DIESEL,,,9.0,70000.0,Individual,First Owner,Diesel,Manual,20.54,1598.0,103.6,5.0,280000.0
RENAULT,FLUENCE E4,,,7.0,80000.0,Individual,First Owner,Diesel,Manual,20.4,1461.0,108.45,5.0,800000.0
MARUTI,WAGON R,610000.0,618000.0,5.0,51000.0,Dealer,First Owner,CNG,Manual,26.6,998.0,58.16,5.0,375000.0
HYUNDAI,I20 ASTA,838000.0000000001,1324000.0,5.0,27884.0,Dealer,First Owner,Petrol,Manual,18.6,1197.0,81.83,5.0,629000.0
HYUNDAI,I20 1.4,967000.0,1283000.0,4.0,37000.0,Dealer,First Owner,Diesel,Manual,22.54,1396.0,88.73,5.0,680000.0
TOYOTA,INNOVA 2.5,,,9.0,500000.0,Individual,First Owner,Diesel,Manual,12.99,2494.0,100.0,7.0,650000.0
TOYOTA,INNOVA CRYSTA,2073000.0,3010000.0,5.0,51000.0,Dealer,First Owner,Diesel,Automatic,11.36,2755.0,171.5,7.0,1775000.0
MARUTI,SWIFT DZIRE,,,6.0,104000.0,Dealer,First Owner,Diesel,Manual,28.4,1248.0,74.02,5.0,395000.0
TATA,INDICA LPG,,,13.0,89000.0,Individual,First Owner,LPG,Manual,15.3,1193.0,62.0,5.0,80000.0
TOYOTA,INNOVA CRYSTA,2126000.0,3063000.0,4.0,110000.0,Dealer,First Owner,Diesel,Manual,13.68,2393.0,147.8,7.0,1700000.0
MARUTI,WAGON R,,,11.0,57000.0,Dealer,First Owner,Petrol,Manual,18.9,998.0,67.1,5.0,211000.0
RENAULT,DUSTER 85PS,,,9.0,100000.0,Individual,First Owner,Diesel,Manual,20.46,1461.0,83.8,5.0,400000.0
TOYOTA,FORTUNER 3.0,3909000.0000000005,4518000.0,11.0,74000.0,Dealer,First Owner,Diesel,Manual,11.5,2982.0,171.0,7.0,1050000.0
CHEVROLET,SPARK 1.0,,,13.0,50000.0,Individual,First Owner,Petrol,Manual,18.0,995.0,62.0,5.0,120000.0
TOYOTA,INNOVA CRYSTA,2073000.0,3010000.0,4.0,109000.0,Dealer,First Owner,Diesel,Manual,13.68,2393.0,147.51,8.0,1575000.0
HYUNDAI,GRAND I10,,,7.0,82530.0,Dealer,First Owner,Petrol,Manual,18.9,1197.0,82.0,5.0,490000.00000000006
MARUTI,RITZ VXI,,,9.0,84000.0,Dealer,First Owner,Petrol,Manual,21.1,1197.0,85.8,5.0,320000.0
RENAULT,KOLEOS 2.0,,,9.0,45000.0,Dealer,First Owner,Diesel,Automatic,13.73,1995.0,148.0,5.0,1001000.0
HYUNDAI,I20 MAGNA,790000.0,1323000.0,10.0,23000.0,Dealer,First Owner,Petrol,Manual,18.5,1197.0,80.0,5.0,340000.0
MARUTI,ALTO K10,,,2.0,7602.0,Dealer,First Owner,Petrol,Automatic,23.95,998.0,67.05,5.0,425000.0
MARUTI,VITARA BREZZA,,,4.0,77665.0,Dealer,First Owner,Diesel,Manual,24.3,1248.0,88.5,5.0,850000.0
TOYOTA,COROLLA ALTIS,,,9.0,84000.0,Dealer,First Owner,Diesel,Manual,21.43,1364.0,87.2,5.0,590000.0
MAHINDRA,THAR DI,1463000.0,1657999.9999999998,3.0,11000.0,Dealer,First Owner,Diesel,Manual,18.06,2523.0,63.0,7.0,771000.0
HYUNDAI,SANTRO XING,,,11.0,35000.0,Dealer,First Owner,LPG,Manual,13.45,1086.0,62.1,5.0,229999.99999999997
AUDI,Q7 2006-2020,8059999.999999999,,6.0,72000.0,Dealer,First Owner,Diesel,Automatic,12.07,2967.0,241.4,7.0,2900000.0
TOYOTA,INNOVA 2.5,,,10.0,108800.0,Dealer,First Owner,Diesel,Manual,12.8,2494.0,102.0,7.0,595000.0
MARUTI,ALTO LXI,,,13.0,30000.0,Dealer,First Owner,Petrol,Manual,19.7,796.0,46.3,5.0,175000.0
VOLKSWAGEN,POLO DIESEL,,,9.0,38000.0,Dealer,First Owner,Diesel,Manual,22.07,1199.0,73.9,5.0,295000.0
MARUTI,SWIFT DZIRE,,,6.0,86000.0,Dealer,First Owner,Diesel,Manual,26.59,1248.0,74.0,5.0,675000.0
HYUNDAI,VERNA CRDI,,,3.0,18000.0,Dealer,First Owner,Diesel,Manual,22.0,1582.0,126.2,5.0,1150000.0
VOLKSWAGEN,POLO 2015-2019,696000.0,1144000.0,3.0,27000.0,Dealer,First Owner,Petrol,Automatic,17.21,1197.0,103.5,5.0,875000.0
MAHINDRA,TUV 300,,,4.0,72432.0,Dealer,First Owner,Diesel,Manual,18.49,1493.0,100.0,7.0,649000.0
MG,HECTOR SHARP,,,2.0,9293.0,Dealer,First Owner,Petrol,Automatic,13.96,1451.0,141.0,5.0,1630000.0
MERCEDES-BENZ,S-CLASS S,171000.0,18100000.0,10.0,90000.0,Dealer,First Owner,Diesel,Automatic,13.5,2987.0,282.0,5.0,1839000.0
MARUTI,ZEN ESTILO,,,11.0,84515.0,Dealer,First Owner,Petrol,Manual,19.0,998.0,67.1,5.0,195000.0
MARUTI,ERTIGA CNG,1023000.0,,4.0,65000.0,Dealer,First Owner,CNG,Manual,26.08,1462.0,91.19,7.0,740000.0
VOLKSWAGEN,POLO 1.5,,,6.0,65817.0,Dealer,First Owner,Diesel,Manual,20.14,1498.0,88.8,5.0,580000.0
MARUTI,WAGON R,,,8.0,50287.0,Dealer,First Owner,Petrol,Manual,20.51,998.0,67.04,5.0,360000.0
HYUNDAI,CRETA 1.6,1176000.0,2046000.0,2.0,25000.0,Individual,First Owner,Diesel,Manual,20.5,1582.0,126.2,5.0,1500000.0
JAGUAR,XF 2.2,,,6.0,28000.0,Dealer,First Owner,Diesel,Automatic,16.36,2179.0,187.7,5.0,2400000.0
MARUTI,EECO CNG,585000.0,,11.0,40000.0,Individual,First Owner,CNG,Manual,21.94,1196.0,63.0,5.0,190000.0
CHEVROLET,SPARK 1.0,,,11.0,78000.0,Dealer,First Owner,Petrol,Manual,18.0,995.0,62.0,5.0,150000.0
JAGUAR,XF 2.2,,,8.0,33500.0,Dealer,First Owner,Diesel,Automatic,16.36,2179.0,187.7,5.0,1895000.0
HYUNDAI,I20 MAGNA,790000.0,1323000.0,5.0,75000.0,Individual,First Owner,Petrol,Manual,18.6,1197.0,81.83,5.0,525000.0
MERCEDES-BENZ,E-CLASS E,7417000.0,17200000.0,4.0,26000.0,Dealer,First Owner,Petrol,Automatic,12.0,1991.0,184.0,5.0,4150000.0
HYUNDAI,I20 SPORTZ,968000.0,1284000.0,8.0,130000.0,Individual,First Owner,Diesel,Manual,21.9,1396.0,88.76,5.0,400000.0
RENAULT,KWID AMT,400000.0,654000.0,4.0,54000.0,Dealer,First Owner,Petrol,Automatic,24.04,999.0,67.0,5.0,345000.0
MAHINDRA,MARAZZO M8,1344000.0,1621000.0,3.0,40000.0,Dealer,First Owner,Diesel,Manual,17.3,1497.0,121.0,7.0,1055000.0
MARUTI,ALTO 800,350000.0,469000.00000000006,4.0,9210.0,Dealer,First Owner,Petrol,Manual,24.7,796.0,47.3,5.0,310000.0
MARUTI,SWIFT DZIRE,,,9.0,20699.0,Dealer,First Owner,Diesel,Manual,23.4,1248.0,74.0,5.0,475000.0
MARUTI,IGNIS 1.2,572000.0,848000.0,3.0,25000.0,Individual,First Owner,Petrol,Manual,20.89,1197.0,81.8,5.0,576000.0
MARUTI,SX4 S,,,4.0,31000.0,Dealer,First Owner,Diesel,Manual,23.65,1248.0,88.5,5.0,865000.0
AUDI,Q3 30,,,4.0,48800.0,Dealer,First Owner,Diesel,Automatic,18.51,1968.0,147.51,5.0,2450000.0
MARUTI,CELERIO LXI,,,2.0,18000.0,Dealer,First Owner,Petrol,Manual,23.1,998.0,67.04,5.0,445000.0
MAHINDRA,BOLERO DI,899000.0,1055000.0,18.0,120000.0,Individual,First Owner,Diesel,Manual,13.6,2523.0,63.0,7.0,100000.0
VOLKSWAGEN,POLO 1.2,,,7.0,70000.0,Dealer,First Owner,Petrol,Manual,16.47,1198.0,74.0,5.0,459999.99999999994
MARUTI,WAGON R,551000.0,733000.0,7.0,101200.0,Dealer,First Owner,Petrol,Manual,18.9,998.0,67.1,5.0,380000.0
MAHINDRA,SCORPIO S10,,,5.0,35000.0,Dealer,First Owner,Diesel,Manual,15.4,2179.0,120.0,8.0,1150000.0
TOYOTA,FORTUNER 4X2,3909000.0000000005,4518000.0,8.0,80000.0,Dealer,First Owner,Diesel,Automatic,12.55,2982.0,168.5,7.0,1500000.0
MAHINDRA,QUANTO C4,,,8.0,65600.0,Individual,First Owner,Diesel,Manual,17.21,1493.0,100.0,7.0,275000.0
HYUNDAI,I20 2015-2017,,,6.0,42000.0,Dealer,First Owner,Petrol,Manual,18.6,1197.0,81.83,5.0,499000.0
MARUTI,ALTO LXI,,,11.0,50000.0,Individual,First Owner,Petrol,Manual,19.7,796.0,46.3,5.0,140000.0
FORD,FIGO DIESEL,936000.0,989000.0,10.0,55500.0,Dealer,First Owner,Diesel,Manual,20.0,1399.0,68.05,5.0,275000.0
NISSAN,SUNNY DIESEL,,,9.0,63000.0,Dealer,First Owner,Diesel,Manual,21.64,1461.0,84.8,5.0,340000.0
MERCEDES-BENZ,GL-CLASS 220D,7578000.0,,4.0,38000.0,Dealer,First Owner,Diesel,Automatic,17.9,2143.0,170.0,5.0,3675000.0
HONDA,CITY 1.3,1290000.0,1710000.0000000002,18.0,177000.0,Dealer,First Owner,Petrol,Manual,11.7,1343.0,100.0,5.0,100000.0
HONDA,BRIO V,,,9.0,43000.0,Dealer,First Owner,Petrol,Manual,19.4,1198.0,86.8,5.0,325000.0
TOYOTA,ETIOS VX,,,5.0,18186.0,Dealer,First Owner,Petrol,Manual,17.6,1496.0,88.7,5.0,450000.0
HONDA,BRIO S,,,5.0,43000.0,Dealer,First Owner,Petrol,Manual,19.4,1198.0,86.8,5.0,395000.0
